#0
fun, crew, great, lot, place, people, get, go, fuck, little, friendly, pretty, want, amazing, thing, couple, wait, surface, work, day, way, hour, try, know, need, right, busy, especially, ask, good, come, service, have, night, sit, like, food, fluffiness, review, parties, stop, high, free, carelessness, location, add, meal, new, customer, buy, area, tuesday, guy, road, money, saturday, flour, maybe, door, save, chicken, vegas, screw, live, star, beef, lucky, tequila, group, wish, flat, important, major, extra, fajitas, limo, chip, atmosphere, help, yesterday, half, today, friday, ride, taco, street, stand, correct, entrance, easy, husband, phone, lazy, nachos, bachelor, birthday, tire, hire, best, strip

#703
decision, id, sudden, informed, confront, arrowhead, flashlight, asia, know, annoyingly, veterinarian, tell, think, good, take, staff, decide, year, ask, work, away, actually, see, need, hear, leave, pretty, like, big, pay, bad, couple, employe, time, people, look, nice, use, old, location, long, check, price, food, service, sure, definitely, little, great, review, family, come, bit, want, eat, area, middle, start, sit, able, man, go, warm, worth, pineapple, pet, customer, cat, pick, animal, bring, large, option, helpful, light, meal, pro, manager, try, live, recommend, delicious, say, health, order, open, hospital, kind, love, business, move, seat, fine, night, con, space, return, owner, chang, state

#704
sauce, soy, like, restaurant, eat, ask, bit, order, end, scallion, innovative, americanized, japan, love, make, think, menu, try, want, good, friend, tell, creativity, enjoy, place, food, lot, actually, open, nice, way, cantonese, big, right, come, know, definitely, go, translation, bad, look, pp, philosophy, feel, work, fundamental, time, commonplace, chopping, yellowfin, say, fresh, taste, hour, add, bring, sweet, take, dish, fish, review, hear, far, person, use, ridden, maybe, base, share, adventure, japanese, decide, perfectly, sushi, people, oh, selection, special, get, instead, point, basically, chef, fact, plus, read, meat, advise, difficult, strong, chinese, finish, street, real, steamed, cook, expectation, great, level, super

#705
son, school, year, teacher, go, firm, love, know, need, want, time, charleston, week, compact, stalk, work, keller, come, retailer, like, kate, old, great, thing, arch, day, start, way, navy, place, little, think, amazing, lot, end, can, spade, eat, staff, say, try, yankee, experience, visit, see, busy, recommend, stop, big, expect, friend, overgrown, clean, whore, open, leave, price, sedan, pay, gunpoint, definitely, tis, expedition, right, food, location, review, turn, close, happy, use, child, nice, look, perfect, spot, good, get, deal, outlet, pick, large, wo, care, helpful, menu, arrive, coach, order, store, base, class, apparently, studio, bass, move, daughter, owner, wear, strip

#706
tortilla, chile, cross, tacos, verde, border, restaurant, eat, good, legendary, food, fresh, thing, visit, worth, home, order, right, way, ask, friendly, huge, like, overall, definitely, great, menu, sure, little, come, enjoy, service, dinner, try, coveted, stop, salsa, place, get, garfield, love, different, mexican, friend, mean, decide, tasty, look, bring, think, taste, seat, include, green, favorite, street, return, server, chicken, kind, flavor, price, lime, drink, beef, pork, burrito, spicy, know, work, perfectly, red, south, long, say, forget, phoenix, bite, berry, unique, figure, stuff, grill, item, house, corn, sausage, plus, plate, tell, time, refill, bright, option, breakfast, old, salt, family, tomato, onion

#707
damage, physical, therapy, knee, usa, consultation, ankle, remarkably, megan, visit, injure, week, take, recommend, outline, feel, home, tell, australia, fred, bad, hahahaha, sprain, mistreat, give, look, end, misdiagnosed, know, trevor, mcgill, year, work, stimulation, time, staff, good, ask, freddie, hour, like, nice, people, lot, great, see, way, close, experience, pay, get, service, need, run, long, use, want, progress, place, make, free, review, thing, happen, yelp, point, little, come, fun, plus, cause, highly, read, mcl, food, think, offer, stand, activity, wait, suppose, straight, treatment, list, amazing, helpful, eventually, friend, water, injury, cost, exercise, number, kind, go, habanero, flow, personal, attention, pretty

#708
super, friendly, nice, staff, great, place, love, time, blast, clean, good, get, work, service, try, way, right, make, experience, recommend, couple, walk, home, give, visit, sit, hour, glenn, dinner, drink, ay, close, beck, leave, awesome, fun, old, happy, location, stay, loud, bar, talented, minute, extremely, study, family, corner, read, plenty, hope, kid, second, business, yi, move, taste, quiet, library, young, member, nacho, employee, bartender, better, shot, money, oil, nachos, rock, adventure, gym, desk, customer, company, climb, climbing, outrageous, disappointing, suppose, food, authentic, group, restaurant, server, lovely, cuban, small, intimate, local, dish, tasty, magnifier, foodborne, spadoni, carle, unpredictability, spammed, advisability, taisting

#709
head, definately, scone, lotion, enjoy, go, emotional, visit, panic, big, subs, come, friend, allen, get, home, great, place, good, stop, time, nice, immensely, try, pretty, pay, tractor, definitely, friendly, price, amazing, experience, service, people, lot, need, food, small, buy, quality, breadbowl, taste, light, run, share, cool, work, drink, stuff, bread, bad, plan, attack, server, o, better, job, look, tell, past, way, feel, sure, ask, awesome, think, cost, guy, morning, deal, consider, review, hangover, group, half, hand, owner, possible, dish, line, phone, seriously, call, clearly, mind, watch, sorry, french, soup, breakfast, upset, say, expensive, lighting, hour, hair, coffee, instead, actually, dim

#710
overprice, walnut, swing, missing, pong, ping, way, food, good, thing, nice, different, definitely, clean, instructional, great, little, like, big, time, work, drink, pretty, know, friendly, end, go, table, think, get, staff, busy, look, feel, eat, favorite, small, hard, year, decent, people, place, use, bar, review, sit, can, plus, old, lot, try, bad, quick, sure, hot, star, amazing, love, buy, give, usually, decide, set, spend, purchase, kind, service, plate, shrimp, lunch, price, fun, salad, porch, outside, beer, cheese, free, scottsdale, school, cafe, low, roll, discount, hold, rock, ok, pizza, rating, right, month, local, return, hurt, regular, chinese, honestly, pair, topic, loud

#711
drive, place, worth, time, good, want, lot, try, know, food, decide, get, people, anybody, work, great, eat, order, give, pretty, different, thing, like, service, big, stop, little, wait, tell, experience, price, filiberto, go, busy, expect, definitely, overall, nice, recommend, actually, away, think, visit, have, federico, feel, probably, restaurant, town, location, love, taste, check, inside, kind, hard, fan, care, star, flavor, return, free, wish, cheese, mexican, bean, new, month, undercooked, rice, menu, enchilada, tasty, high, vanilla, suppose, burrito, instead, prepared, guy, table, mile, hot, manager, surprise, husband, awesome, dry, reason, option, friend, sure, extra, carne, area, red, taco, sauce, combination, moist

#712
genius, hub, underwhelming, drool, brit, pretty, syrupy, thing, want, big, especially, farren, little, get, day, good, bit, decide, food, place, delicious, eat, head, order, bar, free, love, definitely, try, delish, come, hot, review, wait, staff, time, like, spread, new, drink, quality, maybe, bite, bring, sauce, have, go, stop, short, grab, great, friendly, prefer, cheese, stack, note, hear, crispy, lunch, space, service, oh, bummer, trip, fresh, ask, read, lack, friend, kind, live, salt, phoenix, way, expect, attentive, absolutely, guy, favorite, plenty, point, soft, night, study, inside, high, sandwich, cream, recent, chai, warm, chip, jam, hour, potato, open, ratio, splurge, fall, juicy

#713
thai, pad, food, dine, good, place, terrific, great, try, service, delicious, time, price, pretty, want, worth, thing, go, people, leave, long, decent, curry, excellent, share, plan, usually, early, drive, fun, class, minute, parent, variety, play, bump, plenty, ref, heavy, stay, compliment, wide, criticize, dump, junkie, condition, gamble, watch, restriction, game, flow, sister, swipe, speed, somebody, supernova, audience, card, ear, lot, blackwells, book, give, come, evil, stuff, dog, shop, ok, maker, highlighter, sick, textbook, say, academic, handy, obscure, library, aquired, taramisu, whaaaaa, teaspresso, cescon, teardown, spammed, basalmic, optimize, gua, magnifier, spadoni, staffers, laing, unpredictability, mumus, dissappered, pannini, taisting, advisability, mazatlan, depthness

#714
name, response, report, pathetic, tell, integrity, liar, crime, false, call, charles, mental, people, give, demonstrate, experience, say, time, ask, vicious, friend, delusional, service, feel, start, hotline, cyber, accusation, long, derogatory, go, want, look, thing, pay, like, place, need, review, price, come, nice, person, wait, new, seek, recommend, state, business, think, good, entire, fact, guy, write, believe, help, employee, awesome, list, understand, bullying, nevada, care, complete, yelp, helpful, professional, suppose, truly, negative, funny, seat, old, counter, disrespect, record, amazing, bully, party, reasonable, owner, personal, appointment, shame, issue, literally, phone, table, school, town, quality, worth, health, courtesy, comfortable, individual, case, exist, europe

#715
beautifully, happily, brioche, romaine, coincidentally, escarole, favorite, stop, right, lot, love, eat, wait, high, friendly, menu, perfectly, big, price, good, come, fresh, day, like, large, think, time, flavor, little, try, food, small, great, plus, place, thing, include, table, salad, overall, sweet, town, get, look, note, nice, service, lunch, customer, burger, bun, cook, finally, give, drive, door, bacon, review, green, texture, use, order, vegas, parking, spicy, reward, complaint, maybe, bean, saturday, tomato, visit, mediocre, reason, easily, dressing, local, fancy, set, dry, son, couple, weekend, las, yes, strategy, screen, slice, feel, excellent, piece, long, work, end, fry, strip, start, location, star, spot

#716
share, friend, veal, enjoy, restaurant, pretty, fishy, fig, thing, like, start, marsala, nice, get, table, menu, gummy, couple, think, come, want, good, love, serve, try, order, lot, sure, know, big, meal, manicotti, fettuccini, say, home, sauce, food, walk, place, bring, ask, sit, take, time, away, go, look, night, perfect, offer, way, maybe, flavor, large, kind, bread, pasta, remember, tasty, salad, course, husband, brie, appetizer, star, review, vegas, waitress, bite, spicy, past, bruschetta, spread, prefer, bland, green, kinda, shrimp, yummy, homemade, yep, inside, fill, fine, bake, smell, cozy, let, longer, omg, year, apple, eye, own, exactly, heck, saturday, school, pop, egg

#717
norm, separately, residence, groupons, motivate, gag, downgrade, arby, refurbish, separation, grouping, make, way, like, people, feel, day, place, away, order, bad, work, small, pretty, want, experience, look, bring, food, lot, get, thing, nice, hour, night, price, big, area, leave, good, enjoy, later, drive, take, ball, time, perfect, little, great, check, happy, decent, serve, bar, common, suite, outside, management, service, hit, new, come, stop, sound, tuesday, burger, business, bowl, atmosphere, ask, pool, street, go, urban, throw, recently, restaurant, patio, smoker, high, scene, meatball, need, lay, usual, lunch, golf, beef, greet, hard, cover, sandwich, cheap, eat, bun, share, past, lack, tend, raise

#718
environment, great, campus, conditioning, friendly, place, clean, service, food, staff, adopt, society, good, lot, visit, doggy, hearted, congratulate, recommend, time, thing, people, adoption, humane, wait, look, intercom, buster, classical, skylight, like, customer, home, get, sparky, need, open, have, menu, kind, night, highly, relaxing, music, mention, variety, cool, keep, mean, special, cat, air, one, sunday, frustrate, tasty, dog, want, shelter, usually, tiny, comfortable, name, course, calm, ambiance, fair, ask, condition, sound, cute, looking, animal, fantastic, center, japanese, koran, kimchi, plenty, arizona, heating, compassion, drawing, hopefully, ave, instead, pour, interested, answer, typically, hatcher, question, announce, paw, dibs, cuddles, experience, bit, establish, howie

#719
window, realize, snack, look, go, think, get, see, little, like, hour, ask, call, say, day, week, small, review, time, far, restaurant, try, old, run, place, eat, yelp, reason, read, hand, drive, weird, cool, shop, guess, plenty, ok, answer, spot, phone, confirm, count, worth, weekend, taste, ahead, cup, special, pick, neighborhood, area, flavor, favorite, voice, fruit, unfortunately, happy, mail, live, fun, enjoy, grab, froyo, usually, convenient, speed, pacific, bike, phoenix, yogurt, mix, change, creamy, downtown, throw, sample, bite, topping, yogurtland, scottsdale, fave, banana, exactly, tend, pop, pie, snowflake, central, greek, yelping, general, tempe, raspberry, tart, taro, mint, west, icy, texture, avondale

#720
stop, bus, ga, way, time, jack, right, know, visit, irritate, curb, tell, look, like, actually, go, people, end, ask, bladder, big, good, come, salesy, service, place, friendly, great, wait, away, walk, use, experience, station, leave, short, turn, figure, area, spend, waste, job, pretty, guy, oh, trip, corner, employee, vegas, fine, store, man, group, exactly, road, high, option, miss, wall, business, thanks, professional, public, wo, state, section, restaurant, food, change, point, reason, line, proceed, open, large, longer, enjoy, bad, carpet, bum, water, want, couple, plan, restroom, alley, skip, fall, easy, space, price, las, wash, park, parking, reasonable, window, overpriced, rush, review

#721
man, brother, tell, go, work, need, say, get, think, try, start, expedia, foundation, week, wait, pay, take, like, friend, year, call, hour, smiley, stop, chateau, open, home, time, squeak, price, long, place, lies, new, woman, spend, service, figure, book, wish, brake, manager, arrive, month, change, old, eat, ago, good, staff, hang, floor, drive, room, request, half, past, company, reality, spray, rip, block, break, return, false, literally, bunch, party, b, refund, contact, bar, light, inspection, italian, water, wednesday, reasonable, joke, mandalay, warm, club, love, bay, definitely, tour, tire, beef, jack, s, squeaky, bus, table, juice, bottle, usual, lunch, sun, barely, cranberry

#722
license, vista, smiths, vacant, orchid, bangkok, kettle, planner, instrumental, wait, ask, day, go, bring, location, good, nice, right, close, thanks, include, person, helpful, love, plate, get, work, oh, late, mean, friendly, try, experience, restaurant, complaint, long, bean, option, fat, worker, place, special, say, way, order, choice, people, want, like, tell, different, decent, little, memory, course, dunkin, start, gardens, bad, chip, take, perfect, prefer, free, y, la, large, appetizer, trip, offer, organize, know, look, crew, shop, son, past, busy, time, entree, marry, amazing, style, leave, talk, great, chicken, boy, exhibit, line, fast, life, tuesday, new, file, stage, feature, delicious, food, weekend

#723
s, merchant, nuke, grave, epicenter, unedible, pls, naught, pretty, know, good, seat, probably, place, night, eat, food, like, want, instead, need, time, big, love, cool, look, mind, meal, little, go, service, thing, actually, bit, come, pick, restaurant, order, favorite, w, seriously, item, table, warm, experience, hostess, plenty, worth, couple, area, minute, serve, savor, store, somewhat, lunch, start, hatch, right, dining, small, barely, walk, burger, cheese, sit, way, bbq, amazing, get, easy, sauce, meat, combine, pizza, attentive, neighborhood, ask, sure, nice, healthy, hour, delivery, large, ring, wo, smart, selection, smile, say, turn, weekend, take, joe, bad, pack, stay, onion, frozen, fry

#724
cake, hungry, eat, try, like, want, place, favorite, good, look, definitely, come, think, get, bit, open, sweet, visit, serve, restaurant, go, wish, week, cream, recommend, seat, fry, black, feel, awesome, star, cheese, potato, street, meat, carrot, entree, phoenix, bean, not, time, great, local, glaze, be, crab, plate, rice, bonus, nicely, extremely, split, work, pull, cool, remind, cheap, friendly, steak, kind, right, happy, casino, kong, hong, sucker, quickly, friend, weird, cute, ton, fix, family, style, surprisingly, variety, entrance, oz, extra, catch, item, reservation, spinach, side, mignon, grand, espetus, plantain, young, bellagio, umm, hope, mirage, glendale, sf, filet, ave, sad, shitload, op

#725
keep, upstairs, d, unit, intend, george, need, clean, look, work, time, come, long, know, want, big, condo, nice, unheard, expect, recommend, guys, hour, decide, right, tell, customer, definitely, staff, pretty, call, stop, let, say, spend, experience, leave, like, review, worth, service, old, highly, money, location, happy, food, cool, hot, person, job, check, live, inside, better, glad, wine, totally, people, cheap, lunch, question, million, morning, deal, affect, answer, afternoon, follow, picture, rating, company, read, understand, bad, return, seasonal, quick, mention, freeze, arizona, suggestion, mistake, thank, stay, shop, best, trailer, reason, think, order, try, late, yelp, cookie, store, management, epik, purchase, update

#726
move, neighbor, year, day, place, scorpion, come, time, home, lot, think, love, toronto, people, work, start, georgia, good, want, bad, big, staff, barros, poo, open, right, definitely, experience, look, busy, go, know, make, great, way, let, pretty, away, walk, hour, amazing, sure, take, service, like, try, pay, price, friend, new, eat, puddin, bring, table, enjoy, choose, live, customer, happy, leave, keep, lease, month, area, perfect, meal, grocery, hot, door, care, large, store, family, note, night, food, wall, cover, kind, yelp, order, style, seat, taste, list, separate, anymore, welcome, restaurant, yes, dog, apartment, clean, give, owner, able, longer, menu, plate, vegas

#727
cloud, marginal, yucky, inspiration, playoff, sketch, bruchetta, toxic, soi, impressively, lego, khao, bit, table, bad, teppanaki, include, high, way, day, start, check, see, place, come, good, get, try, perfectly, experience, kind, food, maybe, note, need, service, free, sauce, menu, little, love, tasty, order, year, like, lot, highly, worth, recommend, apparently, bring, seat, arrive, strip, give, know, time, customer, surprise, fine, chef, take, dish, reservation, great, pass, plan, basil, night, certain, want, wait, came, thai, offer, beef, nice, onion, small, eat, chicken, pay, corner, people, layer, plus, bold, crispy, sweet, light, favorite, location, boyfriend, flavor, ask, shop, refill, sign, garbage, tomato

#728
specially, carefree, weiter, bekommen, leuchten, alle, mit, der, bei, wurde, be, wir, cafe, good, uns, food, einen, nicht, olive, busy, auch, ist, es, sandwich, auf, ein, da, das, von, dessert, noch, und, zu, bis, vielleicht, den, dem, zwei, einfach, dann, time, mussten, schöne, meinung, die, waren, einem, alten, unseren, sich, long, al, doch, gutem, wie, gast, lady, price, zeit, eine, shop, yelp, geht, ahnung, awesome, nur, findet, aber, euro, beim, pistachio, nachdem, location, start, gibt, wurden, e, un, outside, think, teilweise, hot, für, erst, place, fast, unser, cool, vom, besuch, sind, love, getränke, taste, nach, etwas, kinder, man, service, kann

#729
edinburgh, visit, approval, stylish, centre, frittata, thee, bit, unwind, manly, definitely, day, good, look, sammich, walk, overall, end, serve, actually, try, right, friendly, little, recommend, hudson, time, come, see, big, stop, like, place, friend, great, pretty, go, get, lot, make, mean, eat, favorite, layaway, street, plonk, luiz, drink, delicious, worth, sure, decent, bar, fan, thing, town, offer, nann, price, different, oh, quality, meal, food, work, know, selection, area, year, use, spot, fresh, seat, high, better, need, city, highly, point, restaurant, house, old, give, service, dent, enjoy, perfectly, attractive, job, experience, young, leave, salad, course, hugely, order, amazing, extra, meat, free

#730
stone, elderly, mojo, elizabeth, reluctant, tastebud, fussy, agenda, devoid, perpetually, pupu, enjoy, lot, delicious, good, like, experience, overall, service, order, come, place, make, year, hour, people, right, serve, sweet, highly, food, fresh, want, price, recommend, spend, time, say, try, look, get, happy, old, couple, take, expect, happen, server, ask, pretty, crab, bring, thing, fill, open, work, chicken, cook, definitely, friendly, offer, short, edge, rock, love, water, taste, burn, real, church, pork, greasy, father, bean, rice, fatty, chinese, lunch, hot, wonton, need, feel, season, dining, cooked, house, beer, know, see, large, way, charge, actually, great, wait, funny, person, sandwich, stay, cuban

#731
korean, food, good, closer, place, restaurant, bbq, eat, little, great, lot, try, relish, service, jewel, laden, come, favorite, sure, love, amazing, friend, time, home, delicious, need, want, right, nice, friendly, people, way, pretty, like, price, probably, different, get, visit, menu, poet, small, fresh, sweet, sit, close, hot, see, far, night, think, share, large, hard, seat, family, vegas, awesome, give, late, experience, review, away, oh, day, drink, chicken, fun, yummy, man, las, parking, care, beautiful, high, bowl, dinner, floor, star, line, ask, meal, matter, greet, roll, bar, note, door, easy, absolutely, tender, venue, skin, beer, staff, hidden, include, traffic, ambiance, work

#732
online, sheet, exchange, image, handy, thing, price, look, want, order, time, go, lot, big, ask, give, hour, different, know, come, sure, good, experience, little, home, service, nice, customer, check, think, like, get, choose, place, recommend, away, probably, leave, definitely, far, great, use, staff, buy, friendly, turn, deal, run, say, point, pick, help, able, serve, selection, walk, family, location, try, bit, old, minute, kind, guy, night, better, house, open, small, employee, fun, list, money, outrageous, counter, feel, taste, style, tell, label, mention, assist, year, cheese, age, business, option, real, ahead, inside, offer, later, alcohol, overwhelming, lead, coupon, plate, cheap, extremely, handle

#733
morning, blah, halibut, open, work, know, start, talkative, get, busy, stop, sir, place, great, friendly, long, staff, coating, good, go, definitely, recommend, people, speech, pretty, love, like, want, service, walk, tell, friend, come, say, clean, pepperoncini, big, try, bad, eat, ask, pander, amazing, fresh, let, perfect, give, inside, happy, price, star, market, excellent, highly, order, business, cocky, starbucks, super, drive, helpful, year, time, merely, experience, drop, bake, delicious, yelp, farmer, style, sadly, local, help, haha, vegas, fruit, guy, establishment, bunch, cook, adjust, hell, coffee, talk, neighborhood, shop, offer, waiter, heavily, pizza, party, distracting, sandwich, quality, find, totally, low, panini, ok

#734
car, honest, service, need, inexpensive, go, get, customer, good, day, year, right, bmw, place, great, come, ask, see, open, new, check, fix, walk, drive, quality, care, turn, manager, old, include, oh, hot, order, helpful, team, receive, food, counter, thrill, fast, table, consider, clear, steve, piping, door, sauce, fresh, lucky, hold, chain, tray, serve, teenager, drink, nyc, soda, cashier, encounter, welcome, pace, yeah, top, whoa, fountain, fetch, dipping, chipper, staffer, teardown, gua, basalmic, mazatlan, kalologie, cescon, coif, pocketsizedelle, shet, optimize, arounds, pickier, whaaaaa, clubber, magnifier, mumus, staffers, laing, unpredictability, dissappered, taisting, soufflet, advisability, interrior, correlation, spammed, definalty, loveeeeeee, hamdulila, spadoni, asymmetry

#735
topping, yell, communication, santa, math, place, know, make, want, come, time, actually, work, get, like, way, sit, order, pay, give, try, choose, good, definitely, eat, pretty, little, walk, fresh, delicious, go, people, look, great, need, day, ask, leave, huge, thing, review, table, service, clubbers, finally, love, menu, flavor, drink, cheese, amazing, can, location, wait, feel, food, start, plus, include, hot, favorite, restaurant, kind, taste, able, share, bring, serve, instead, hour, deal, understand, base, pizza, night, mention, entire, warm, think, disappointed, inside, family, point, extra, cost, greet, pepper, wall, list, note, condiment, outside, sweet, salad, care, take, life, customer, employee, state

#736
app, join, link, cappuccino, bao, deliciously, turf, surf, sf, lawsuit, parisian, decide, friend, try, favorite, visit, way, good, amazing, big, recommend, hour, nice, stop, order, price, place, sit, yummmmmm, hear, experience, go, time, lot, great, love, menu, hot, enjoy, day, like, fan, beef, strip, happy, town, close, large, new, work, person, review, yelp, little, thing, highly, equally, tasty, want, steak, instead, vegas, delicious, helpful, reserve, walk, yes, warm, special, fun, reasonable, open, serve, think, service, fry, inside, gym, tell, fitness, busy, reason, table, baguette, perfect, box, atmosphere, location, juicy, yummy, outside, say, man, cold, spot, sandwich, people, quality, taste, dough

#737
recommendation, bone, gentleman, impeccable, service, great, good, ryan, try, definitely, come, oscar, amazing, restaurant, customer, sauce, meat, steak, location, filet, crab, chain, young, taramisu, artiste, nevarez, coif, arounds, definalty, shet, teardown, recluse, macmedia, aand, cescon, rasputin, phô, tgifriday, rollatini, orrechiette, kamikazi, payton, cocomut, yesteday, unpredictability, pickier, picka, brandie, toyama, asymmetry, fatouche, bef, markes, ramma, dippa, setiing, hamdulila, pocketsizedelle, eq, clobber, totter, bouse, tonopah, quartzsite, ayyam, chalant, narai, haydee, cuttwood, aquatinis, danmar, swgas, rly, merengue, jouce, jageer, colposcopy, whaaaaa, schrewd, bates, teaspresso, pannini, aquired, depthness, definataly, loveeeeeee, clubber, kalologie, trival, optimize, laing, mumus, dissappered, soufflet, interrior, correlation, herbally, corodisone, staffers, redkins

#738
act, craft, rosemary, wire, know, whimsical, absinthe, secluded, burlesque, quintessential, lot, can, like, try, drink, worth, contortionist, dinner, start, time, good, aerial, wait, go, make, interplay, want, nocturne, playfully, radiohead, review, bit, small, menu, bar, place, head, short, sure, inside, love, offer, delicious, bring, happen, way, experience, local, perfectly, fun, great, unique, straight, mention, hand, late, pull, intimate, right, star, different, year, space, rrl, serve, show, think, pay, wall, highly, recommend, staff, restaurant, light, extremely, stand, outside, list, tasty, past, circus, cocktail, typically, bill, guy, wo, rest, entire, entertainment, break, result, dish, pair, come, big, friendly, room, spot, cheese, yes

#739
mile, truck, garage, visitor, path, ultra, vote, end, beaten, way, see, open, staff, go, get, friendly, food, look, need, finally, come, arty, decide, like, new, think, time, definitely, town, place, park, friend, check, offer, barristas, area, good, live, yelp, little, instead, outside, owner, shop, stop, tourist, coffee, red, fun, customer, bean, ask, order, flavor, feel, green, lose, ice, bit, cream, crepe, person, store, eat, waffle, leave, wait, snack, pm, money, understand, afternoon, east, list, texture, tea, topping, bf, treat, fairly, groove, forget, type, kind, dense, chewy, batter, foster, messy, condense, feedback, meets, sophies, creepy, milk, unprofessionalism, mind, caramel, banana, crispy

#740
price, reasonable, convenient, orange, excuse, craving, good, plaza, friendly, service, time, try, food, little, come, get, let, menu, close, include, chicken, month, excellent, super, spicy, salad, lunch, business, portion, ala, live, group, discount, cash, yellow, special, meal, thai, roll, rice, pad, curry, egg, entree, gem, carte, tip, picture, pay, past, henderson, eggplant, regular, safe, satisfy, deliver, recur, staple, hidden, select, chick, panang, ew, picka, optimize, definalty, pannini, aquired, setiing, whaaaaa, pocketsizedelle, aand, cescon, taramisu, teardown, shet, teaspresso, fatouche, hamdulila, staffers, mazatlan, laing, kalologie, schrewd, trival, bates, corodisone, herbally, correlation, dippa, unpredictability, interrior, soufflet, magnifier, dissappered, gua, mumus, basalmic, spadoni, depthness

#741
buck, listen, lemon, hell, shocked, skillet, deposit, palm, worth, come, sit, sure, pretty, go, pay, decide, experience, call, say, feel, toothpick, eat, menu, bring, order, meal, music, hand, tasty, live, suppose, glad, guess, choice, cheese, rush, watch, impressed, real, wo, pricey, guy, not, hubby, waiter, asian, mac, jambayaya, kitti, corodisone, picka, dippa, staffers, mazatlan, bates, basalmic, trival, gua, magnifier, spadoni, schrewd, narai, unpredictability, taisting, advisability, hamdulila, herbally, artiste, asymmetry, optimize, kalologie, clubber, loveeeeeee, depthness, aquired, pannini, teaspresso, pocketsizedelle, whaaaaa, setiing, fatouche, definalty, laing, aand, mumus, cescon, dissappered, soufflet, interrior, spammed, correlation, taramisu, teardown, shet, arounds, coif, pickier, ramma, brandie, eq

#742
cupcake, coconut, sprinkle, frost, try, pregnant, scent, delicious, sweet, like, dome, good, fuzzy, way, different, decide, order, sure, can, think, choose, definitely, wait, friend, stop, big, right, little, go, cake, enjoy, thing, come, place, velvet, time, small, chocolate, work, bit, know, menu, love, close, red, yelp, bar, top, kind, cheese, cute, taste, tell, husband, old, fun, rest, super, die, list, better, area, yummy, expect, lot, take, hard, service, strawberry, offer, fill, shop, sound, look, hand, traditional, notice, seating, wrong, mom, arrive, star, people, god, house, location, worth, size, boutique, call, breakfast, sample, deal, hear, impressive, free, dark, flavor, george, sandwich

#743
young, obviously, spread, wanna, teen, bday, little, thing, idk, want, crummy, sit, start, sure, look, amazing, need, get, go, come, time, busy, check, like, right, small, good, sweet, tell, actually, seat, person, large, deal, buy, area, set, appropriate, party, grow, def, kid, dude, crowded, date, crowd, inside, hour, near, long, cent, charge, watch, snack, rink, skate, ice, aka, one, today, wax, seating, show, helpful, south, brow, worker, rend, plastic, child, schedule, close, not, son, bar, plus, suck, fall, minute, walk, tea, will, groupon, wall, soooo, sooo, kristi, hella, away, public, bromosexual, skank, as, metal, dumbfounded, bhaha, chai, latte, voice, bes

#744
major, disappointment, tired, bad, huge, glory, need, dusty, think, get, sit, decent, bit, different, ancient, know, decide, long, thing, try, feel, pay, dinner, good, visit, pretty, go, place, way, service, food, say, have, walk, probably, day, hour, look, away, time, see, love, want, come, staff, right, price, actually, leave, review, nice, quality, restaurant, wait, night, fresh, head, location, check, star, yes, kind, bar, decor, old, table, past, total, realize, minute, finish, awful, rush, order, choice, start, bathroom, read, able, rat, stay, room, fine, stick, definitely, watch, poor, breakfast, believe, eat, cheese, dunhill, work, inside, break, regularly, roll, door, close, party

#745
owner, fair, pricing, assume, strange, respond, way, great, ask, friend, take, bit, maybe, stuff, wrong, english, french, manager, italian, lady, pizza, definalty, pocketsizedelle, whaaaaa, artiste, shet, arounds, teardown, taramisu, cescon, setiing, fatouche, coif, aand, picka, ramma, markes, bef, toyama, payton, tgifriday, rasputin, rollatini, orrechiette, kamikazi, kilauea, outkast, blazer, macmedia, recluse, medwell, dippa, brandie, teaspresso, asymmetry, pickier, pannini, mumus, depthness, quartzsite, ayyam, chalant, haydee, colposcopy, cuttwood, aquatinis, danmar, swgas, rly, merengue, jouce, jageer, gratifying, squelch, konves, taisting, tonopah, bouse, totter, clobber, loveeeeeee, clubber, kalologie, optimize, staffers, laing, phô, dissappered, aquired, soufflet, correlation, herbally, corodisone, bates, trival, schrewd, narai, eq, interrior, nevarez

#746
funny, pro, con, lastly, lot, thing, comic, keen, comedian, sure, indication, christian, think, kee, couple, long, time, enjoy, go, bit, way, love, price, look, get, come, recommend, work, let, week, visit, have, try, check, quality, night, know, bring, wait, hard, maybe, dinner, head, drink, place, town, job, highly, spot, guy, cool, deal, keep, buy, energy, fact, delicious, hand, miss, club, mention, sushi, book, right, local, low, parking, grab, dirty, atmosphere, roll, customer, terrible, comedy, season, draw, win, gon, na, smelly, line, crowd, sloppy, step, chance, m, honest, tough, year, experienced, shitty, brad, crazy, half, attention, employee, rosemary, soon, pissed, eye

#747
